date_time,latitude,longitude,wspd1,flag_wspd1,wdir1,flag_wdir1,sst,flag_sst,swvht1,flag_swvht1,tp1,flag_tp1,wvdir1,flag_wvdir1,wvspread1,flag_wvspread1,tm1,flag_tm1,pkdir1,flag_pkdir1,pkspread1,flag_pkspread1
2022-04-05 15:52:30,-26.9059,-48.6531,0,0,257,0,-9999,1,0.07,0,12.8,0,261,0,79,0,6.72,0,254,0,69,0
2022-04-05 16:22:30,-26.9059,-48.6531,0,6,62,0,28.22,0,0.04,0,7.86,0,72,0,81,0,5.18,0,119,0,70,0
2022-04-05 16:52:30,-26.906,-48.6531,0,6,80,0,-9999,1,0.09,0,14.62,0,4,0,78,0,6.22,0,357,0,78,0
2022-04-05 17:22:30,-26.9059,-48.6531,0,6,11,0,29.82,0,0.03,0,20.48,2,342,0,79,0,4.9,0,227,0,76,0
2022-04-05 17:52:30,-26.9059,-48.6531,0,6,211,0,-9999,1,0.07,0,9.3,0,222,0,81,0,5.52,0,359,0,72,0
2022-04-05 18:22:30,-26.9059,-48.6532,0,6,302,0,31.12,2,0.11,0,11.36,0,319,0,78,0,6.6,0,29,0,76,0
2022-04-05 18:52:30,-26.9059,-48.6531,0,6,325,0,-9999,1,0.17,0,20.48,2,19,0,79,0,10.18,0,19,0,76,0
2022-04-05 19:22:30,-26.9059,-48.6531,0,6,108,0,28.64,0,0.25,0,14.62,0,61,0,77,0,7.64,0,45,0,73,0
2022-04-07 09:07:31,-24.1282,-45.6777,0,6,171,0,-9999,1,1.36,0,7.3,0,182,0,58,0,7.4,0,180,0,48,0
2022-04-07 09:37:31,-24.1293,-45.6828,0,6,194,0,24.04,0,1.34,0,7.3,0,174,0,58,0,7.1,0,179,0,57,0
2022-04-07 10:07:31,-24.1287,-45.6737,0,6,68,0,-9999,1,1.28,0,7.3,0,174,0,62,0,7.3,0,178,0,58,0
2022-04-07 10:37:31,-24.1292,-45.6768,2,0,165,0,24.74,0,1.4,0,7.3,0,178,0,62,0,7.06,0,175,0,58,0
2022-04-07 11:07:31,-24.1293,-45.6768,2.8,0,97,0,-9999,1,1.36,0,10.24,0,195,0,60,0,6.74,0,209,0,52,0
2022-04-07 11:37:31,-24.1293,-45.6768,3.2,0,40,0,24.78,0,1.45,0,7.86,0,194,0,58,0,6.84,0,197,0,53,0
2022-04-07 12:07:31,-24.1293,-45.6768,3.6,0,51,0,-9999,1,1.36,0,10.24,0,200,0,63,0,6.5,0,213,0,50,0
2022-04-07 12:37:31,-24.1293,-45.6768,3.6,0,91,0,24.84,0,1.32,0,10.24,0,200,0,60,0,6.54,0,218,0,47,0
2022-04-07 13:07:31,-24.1293,-45.6768,3.6,0,120,0,-9999,1,1.39,0,10.24,0,198,0,60,0,6.7,0,215,0,47,0
2022-04-07 13:37:31,-24.1293,-45.6768,3.6,0,120,0,24.92,0,1.34,0,10.24,0,195,0,60,0,6.8,0,206,0,45,0
2022-04-07 14:07:31,-24.1293,-45.6768,3.6,0,125,0,-9999,1,1.33,0,7.86,0,193,0,63,0,6.44,0,203,0,68,0
2022-04-07 14:37:31,-24.1293,-45.6768,3.6,0,131,0,25,0,1.38,0,10.24,0,201,0,61,0,6.86,0,222,0,49,0
2022-04-07 15:07:31,-24.1294,-45.6769,3.2,0,97,0,-9999,1,1.41,0,10.24,0,200,0,60,0,7.04,0,215,0,43,0
2022-04-07 15:37:31,-24.1295,-45.6769,3.6,0,131,0,24.84,0,1.34,0,9.3,0,198,0,66,0,6.8,0,229,0,65,0
2022-04-07 16:07:31,-24.1295,-45.6769,3.6,0,108,0,-9999,1,1.35,0,10.24,0,189,0,64,0,6.5,0,215,0,52,0
2022-04-07 16:37:31,-24.1295,-45.677,3.6,0,148,0,25.08,0,1.47,0,7.3,0,180,0,65,0,6.86,0,186,0,64,0
2022-04-07 17:07:31,-24.1296,-45.677,4.4,0,154,0,-9999,1,1.35,0,9.3,0,163,0,66,0,6.66,0,165,0,71,0
2022-04-07 17:37:31,-24.1296,-45.677,4,0,171,0,25.14,0,1.34,0,7.86,0,182,0,67,0,6.38,0,177,0,69,0
2022-04-07 18:07:31,-24.1293,-45.6768,4.4,0,142,0,-9999,1,1.33,0,9.3,0,177,0,65,0,6.46,0,188,0,62,0
2022-04-07 18:37:31,-24.1293,-45.6768,4,0,148,0,25.12,0,1.35,0,7.86,0,186,0,60,0,6.5,0,181,0,55,0
2022-04-07 19:07:31,-24.1294,-45.6769,4,0,148,0,-9999,1,1.44,0,10.24,0,177,0,57,0,6.86,0,200,0,58,0
2022-04-07 19:37:31,-24.1291,-45.6769,4,0,131,0,25.06,0,1.22,0,9.3,0,179,0,62,0,6.4,0,183,0,57,0
2022-04-07 20:07:31,-24.1293,-45.6768,4.4,0,142,0,-9999,1,1.31,0,8.52,0,183,0,57,0,6.86,0,176,0,51,0
2022-04-07 20:37:31,-24.1292,-45.6768,4.8,0,137,0,24.9,0,1.31,0,9.3,0,182,0,58,0,6.86,0,190,0,54,0
2022-04-07 21:07:31,-24.1292,-45.6768,4.4,0,120,0,-9999,1,1.22,0,7.86,0,186,0,61,0,6.84,0,192,0,65,0
2022-04-07 21:37:31,-24.1293,-45.6768,4.4,0,137,0,24.92,0,1.24,0,8.52,0,188,0,60,0,6.68,0,190,0,60,0
2022-04-07 22:07:31,-24.1293,-45.6768,1.6,0,188,0,-9999,1,1.2,0,10.24,0,191,0,56,0,6.86,0,200,0,40,0
2022-04-07 22:37:31,-24.1293,-45.6768,2,0,182,0,24.88,0,1.27,0,8.52,0,188,0,58,0,7,0,189,0,57,0
2022-04-07 23:07:31,-24.1294,-45.6768,4,0,131,0,-9999,1,1.23,0,8.52,0,188,0,61,0,7.2,0,163,0,58,0
2022-04-07 23:37:31,-24.1294,-45.6768,4,0,97,0,24.9,0,1.18,0,9.3,0,192,0,61,0,6.96,0,205,0,52,0
2022-04-08 00:07:31,-24.1294,-45.6768,1.6,0,171,0,-9999,1,1.17,0,8.52,0,186,0,60,0,6.96,0,189,0,60,0
2022-04-08 00:37:31,-24.1294,-45.6768,2,0,177,0,24.9,0,1.17,0,9.3,0,185,0,61,0,7.02,0,215,0,62,0
2022-04-08 01:07:31,-24.1294,-45.6768,1.6,0,188,0,-9999,1,1.15,0,8.52,0,196,0,64,0,6.72,0,188,0,60,0
2022-04-08 01:37:31,-24.1294,-45.6768,3.6,0,57,0,24.96,0,1.09,0,7.3,0,177,0,63,0,6.66,0,169,0,54,0
2022-04-08 02:07:31,-24.1293,-45.6768,3.2,0,62,0,-9999,1,1.13,0,8.52,0,174,0,63,0,6.92,0,165,0,69,0
2022-04-08 02:37:31,-24.1293,-45.6768,1.6,0,165,0,25,0,1.23,0,8.52,0,172,0,59,0,7.4,0,166,0,61,0
2022-04-08 03:07:31,-24.1293,-45.6768,3.2,0,34,0,-9999,1,1.16,0,8.52,0,168,0,62,0,7.1,0,158,0,65,0
2022-04-08 03:37:31,-24.1293,-45.6768,2.8,0,45,0,25,0,1.21,0,8.52,0,171,0,64,0,7.26,0,170,0,64,0
2022-04-08 04:07:31,-24.1293,-45.6768,2.4,0,51,0,-9999,1,1.12,0,8.52,0,179,0,63,0,6.92,0,170,0,58,0
2022-04-08 04:37:31,-24.1292,-45.6769,2.8,0,68,0,25.02,0,1.17,0,8.52,0,169,0,63,0,7.2,0,154,0,69,0
2022-04-08 05:07:31,-24.1291,-45.6769,1.6,0,165,0,-9999,1,1.15,0,8.52,0,163,0,61,0,7.36,0,132,0,57,0
2022-04-08 05:37:31,-24.1291,-45.6769,2.8,0,57,0,25,0,1.26,0,8.52,0,164,0,57,0,7.7,0,152,0,56,0
2022-04-08 06:07:31,-24.1292,-45.6769,2.8,0,57,0,-9999,1,1.26,0,17.06,0,162,0,60,0,7.46,0,163,0,51,0
2022-04-08 06:37:31,-24.1292,-45.6769,3.2,0,68,0,24.94,0,1.27,0,8.52,0,160,0,62,0,7.32,0,133,0,65,0
2022-04-08 07:07:31,-24.1294,-45.6769,3.2,0,62,0,-9999,1,1.24,0,8.52,0,160,0,60,0,7.3,0,138,0,56,0
2022-04-08 07:37:31,-24.1294,-45.6769,1.6,0,120,0,24.94,0,1.28,0,8.52,0,160,0,60,0,7.58,0,141,0,63,0
2022-04-08 08:07:31,-24.1294,-45.6769,1.6,0,137,0,-9999,1,1.24,0,17.06,0,164,0,61,0,7.9,0,161,0,41,0
2022-04-08 08:37:31,-24.1294,-45.6769,1.6,0,165,0,24.88,0,1.23,0,8.52,0,165,0,64,0,7.32,0,155,0,64,0
2022-04-08 09:07:31,-24.1295,-45.6769,1.6,0,97,0,-9999,1,1.37,0,8.52,0,159,0,61,0,7.82,0,142,0,62,0
2022-04-08 09:37:31,-24.1294,-45.6769,3.6,0,34,0,24.84,0,1.31,0,7.86,0,161,0,63,0,7.3,0,146,0,72,0
2022-04-08 10:07:31,-24.1294,-45.6769,1.6,0,148,0,-9999,1,1.29,0,8.52,0,157,0,64,0,7.5,0,164,0,68,0
2022-04-08 10:37:31,-24.1294,-45.6769,1.6,0,125,0,24.88,0,1.32,0,8.52,0,156,0,63,0,7.62,0,125,0,70,0
2022-04-08 11:07:31,-24.1294,-45.6769,1.6,0,131,0,-9999,1,1.27,0,8.52,0,148,0,64,0,7.18,0,141,0,73,0
2022-04-08 11:37:31,-24.1294,-45.6769,4,0,28,0,24.96,0,1.28,0,9.3,0,158,0,66,0,7.06,0,188,0,68,0
